Typical Measured Spectrum of Semrock NF03-488E Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
508.4	0.94585
508.6	0.94905
508.8	0.95275
509.0	0.95425
509.2	0.95402
509.4	0.95262
509.6	0.95087
509.8	0.94797
510.0	0.94523
510.2	0.94512
510.4	0.94741
510.6	0.94945
510.8	0.95226
511.0	0.9567
511.2	0.95903
511.4	0.95893
511.6	0.95648
511.8	0.95285
512.0	0.9494
512.2	0.94587
512.4	0.94295
512.6	0.94362
512.8	0.94641
513.0	0.94977
513.2	0.95441
513.4	0.959
513.6	0.96245
513.8	0.96378
514.0	0.96224
514.2	0.95907
514.4	0.9554
514.6	0.95196
514.8	0.94813
515.0	0.94797
515.2	0.95001
515.4	0.9522
515.6	0.95491
515.8	0.9589
516.0	0.96136
516.2	0.96128
516.4	0.95899
516.6	0.95556
516.8	0.95271
517.0	0.94938
517.2	0.94646
517.4	0.94651
517.6	0.94879
517.8	0.95109
518.0	0.95384
518.2	0.95768
518.4	0.96016
518.6	0.96035
518.8	0.95805
519.0	0.95479
519.2	0.95187
519.4	0.94812
519.6	0.94499
519.8	0.94395
520.0	0.94672
520.2	0.94935
520.4	0.95231
520.6	0.95578
520.8	0.95935
521.0	0.96051
521.2	0.95998
521.4	0.95726
521.6	0.95486
521.8	0.95204
522.0	0.9487
522.2	0.94681
522.4	0.9473
522.6	0.94965
522.8	0.95161
523.0	0.954
523.2	0.95707
523.4	0.95923
523.6	0.95869
523.8	0.95652
524.0	0.9537
524.2	0.95166
524.4	0.94912
524.6	0.94622
524.8	0.94585
525.0	0.9478
525.2	0.95033
525.4	0.95212
525.6	0.95484
525.8	0.95744
526.0	0.95921
526.2	0.95818
526.4	0.95584
526.6	0.9539
526.8	0.95263
527.0	0.95043
527.2	0.94872
527.4	0.94914
527.6	0.95098
527.8	0.9531
528.0	0.95392
528.2	0.95531
528.4	0.95599
528.6	0.95572
528.8	0.95315
529.0	0.94995
529.2	0.94739
529.4	0.94547
529.6	0.94331
529.8	0.94191
530.0	0.94244
530.2	0.94508
530.4	0.94736
530.6	0.94875
530.8	0.95123
531.0	0.95251
531.2	0.95341
531.4	0.95158
531.6	0.94964
531.8	0.94875
532.0	0.94862
532.2	0.94804
532.4	0.94823
532.6	0.9505
532.8	0.95439
533.0	0.95736
533.2	0.95961
533.4	0.96093
533.6	0.96184
533.8	0.96137
534.0	0.95955
534.2	0.95614
534.4	0.95328
534.6	0.95186
534.8	0.95085
535.0	0.95003
535.2	0.95114
535.4	0.95384
535.6	0.95723
535.8	0.95956
536.0	0.96063
536.2	0.96176
536.4	0.96195
